"File","Row","Field","RecommendedValue","RequiredEvidence"
"kids_manual_qa_evidence_intake_2026-04-26.csv","GameplayLaunch","RecommendedStatus","PASS after app starts successfully","Terminal output or screenshot"
"kids_manual_qa_evidence_intake_2026-04-26.csv","KidsModeSelection","RecommendedStatus","PASS after Kids age category opens","Screenshot or tester note"
"kids_manual_qa_evidence_intake_2026-04-26.csv","CoreGameplayLoop","RecommendedStatus","PASS after one full Kids gameplay loop works","Playthrough note or screen capture"
"kids_manual_qa_evidence_intake_2026-04-26.csv","ProgressPersistence","RecommendedStatus","PASS after progress/state remains stable","Before/after progress note"
"kids_regression_evidence_checklist_2026-04-26.csv","REG-002","Status","PASS after install/build command succeeds","Terminal output"
"kids_regression_evidence_checklist_2026-04-26.csv","REG-003","Status","PASS after Kids route/mode loads","Screenshot or tester note"
"kids_regression_evidence_checklist_2026-04-26.csv","REG-004","Status","PASS after gameplay loop works","Playthrough evidence"
"kids_final_handoff_package_2026-04-26.csv","ManualGameplayQA","Status","ACCEPTED_AFTER_REVIEW","Completed QA evidence intake"
"kids_final_handoff_package_2026-04-26.csv","RegressionEvidence","Status","ACCEPTED_AFTER_REVIEW","Completed regression checklist"
"kids_final_handoff_package_2026-04-26.csv","AdultsTransitionGate","Status","READY_AFTER_KIDS_QA_ACCEPTED","Final handoff acceptance"
