"Entity","Field","Type","Required","PersistenceScope","Notes"
"AdultProfile","profileId","string","YES","Profile","Stable profile identifier"
"AdultProfile","ageMode","string","YES","Profile","Value must be adults"
"AdultProgress","stage","string","YES","Progress","A1-A5"
"AdultProgress","category","string","YES","Progress","AC1-AC8"
"AdultSession","sessionMode","string","YES","SessionHistory","QuickFocus Standard Deep Recovery"
"AdultSession","score","number","YES","SessionHistory","0-100 overall score"
"AdultSession","accuracy","number","YES","SessionHistory","Correct answers divided by total"
"AdultSession","hintUse","number","YES","SessionHistory","Hint-use count or rate"
"AdultSession","retryCount","number","YES","SessionHistory","Retries during session"
"AdultSession","timeToComplete","number","YES","SessionHistory","Completion duration"
"AdultInsight","recommendedNextAction","string","YES","LatestInsight","Recovery SameStage Deep ExpertPathCandidate"
