"CertifiedID","Field","CurrentLockedValue","RequiredAction","State"
"K-KC01-K1-B01","ImplementationStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ImplementationNotes","Blocked: executed implementation evidence has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","BuildReferences","Blocked: build and asset references have not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","FunctionalQaStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","FunctionalQaSummary","Blocked: functional QA execution record has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","FunctionalQaDefects","Blocked: functional QA defect log has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","FunctionalQaRetest","Blocked: functional QA retest result has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ContentQaStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ContentQaSummary","Blocked: content QA review record has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","WordingResult","Blocked: wording review result has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","LogicResult","Blocked: logic review result has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ProgressionQaStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","SequenceReview","Blocked: progression review record has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","CategoryFit","Blocked: category-fit result has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","StageFit","Blocked: stage-fit result has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","PlaytestStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","SessionNotes","Blocked: playtest session notes have not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ConfusionPoints","Blocked: playtest confusion points have not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ImprovementNotes","Blocked: playtest improvement notes have not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","TelemetryStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","CompletionRate","Blocked: telemetry completion rate has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","FirstTrySuccess","Blocked: telemetry first-try success has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","HintUsage","Blocked: telemetry hint usage has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","RetryCount","Blocked: telemetry retry count has not been captured yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ApprovalStatus","BLOCKED","Replace with real completed value","OPEN"
"K-KC01-K1-B01","Reviewer","Blocked: reviewer has not been assigned yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","ReviewDate","Blocked: review date has not been recorded yet.","Replace with real completed value","OPEN"
"K-KC01-K1-B01","Decision","Blocked: approval decision has not been recorded yet.","Replace with real completed value","OPEN"
