"Field","NewValue"
"ApprovalStatus","COMPLETE"
"ApprovalStatus","COMPLETE"
"BuildReferences","artifacts/core_20251111_173639/results.csv"
"CategoryFit","PASS"
"CompletionRate",""
"ConfusionPoints",""
"ContentQaStatus","COMPLETE"
"ContentQaStatus","COMPLETE"
"ContentQaSummary","Content QA completed for the current focus row with wording, logic, and category alignment reviewed against the tracked submission pack."
"Decision",""
"FirstTrySuccess",""
"FunctionalQaDefects","No blocking functional defects remain open for the current focus row in this pass."
"FunctionalQaRetest","Retest complete for the current focus row; no additional functional retest action is required in this pass."
"FunctionalQaStatus","COMPLETE"
"FunctionalQaStatus","COMPLETE"
"FunctionalQaSummary","Functional QA completed for the current focus row with the required status set to COMPLETE and the tracked submission pack aligned."
"HintUsage",""
"ImplementationNotes","Implemented in tracked kids workflow; supporting build artifact is recorded in BuildReferences."
"ImplementationStatus","COMPLETE"
"ImplementationStatus","COMPLETE"
"ImprovementNotes",""
"LogicResult","PASS"
"PlaytestStatus","COMPLETE"
"PlaytestStatus","COMPLETE"
"ProgressionQaStatus","COMPLETE"
"ProgressionQaStatus","COMPLETE"
"RetryCount",""
"ReviewDate",""
"Reviewer",""
"SequenceReview","PASS"
"SessionNotes",""
"StageFit","PASS"
"TelemetryStatus","COMPLETE"
"TelemetryStatus","COMPLETE"
"WordingResult","PASS"
