"Key","Value","ManualUpdateNeeded"
"KIDS_URL","http://localhost:8090/kids","YES_VERIFY_IN_BROWSER"
"ADULTS_URL","http://localhost:8090/adults","YES_VERIFY_IN_BROWSER"
"FIRST_EXPECTED_PROMPT","Which one is red?","YES_VERIFY_IN_BROWSER"
"FIRST_EXPECTED_ANSWER","Red","YES_CLICK_IN_BROWSER"
"EXPECTED_MODES","Play Focus|Story Practice|Challenge|Calm Review","YES_VERIFY_IN_BROWSER"
"EXPECTED_PROGRESS_PANEL","Kids progress review|Calm progress snapshot|Refresh progress","YES_VERIFY_IN_BROWSER"
"EXPECTED_AFTER_ANSWER","Score|Mastery|Level|Score band|Adaptive next step|Session insight","YES_VERIFY_IN_BROWSER"
"EXPECTED_KIDS_STORAGE_KEYS","mindlab.kids.profile.v1|mindlab.kids.sessionHistory.v1","YES_VERIFY_BROWSER_DEVTOOLS"
"SERVER_START_STATUS","PASS","NO"
"NEXT_ACTION","RECORD_KIDS_EXPANSION_MANUAL_SMOKE_AND_REGRESSION_RESULTS","NO"
