"SmokeId","Result","Evidence","Notes"
"K-EXP-SMOKE-001","PASS","Browser screenshot shows Kids cognitive training at http://localhost:8090/kids","Kids page loads"
"K-EXP-SMOKE-002","PASS","Browser screenshot shows Play Focus, Story Practice, Challenge, Calm Review","All four Kids modes visible"
"K-EXP-SMOKE-003","PASS","Browser screenshot shows Kids progress review and Calm progress snapshot","Progress review panel visible"
"K-EXP-SMOKE-004","PASS","Browser screenshot shows gameplay area before answer without gameplay score cards","Score cards are hidden inside gameplay before answer"
"K-EXP-SMOKE-005","FAIL","User browser verification after clicking Red","After-answer score/adaptive UI"
"K-EXP-SMOKE-006","FAIL","User browser verification after clicking Red","Session insight"
"K-EXP-SMOKE-007","FAIL","User browser verification after clicking Red","Suggested next button"
"K-EXP-SMOKE-008","FAIL","User DevTools localStorage verification","mindlab.kids.profile.v1 and mindlab.kids.sessionHistory.v1"
"K-EXP-SMOKE-009","FAIL","User DevTools localStorage verification","Kids route does not create Adults keys"
"K-EXP-SMOKE-010","PASS","Browser screenshot shows http://localhost:8090/adults loaded","Adults route regression opens separately"
"K-EXP-SMOKE-011","PASS","Browser screenshot shows clean Kids text","No visible Kids mojibake"
"K-EXP-SMOKE-012","PASS","Browser screenshot shows no duplicate starter card above Kids page","Duplicate starter card removed"
