"SubtaskId","ParentTask","Area","Subtask","RecommendedValue","Status"
"K-EXP-SUB-001","K-EXP-004","Content","Add KC6 Memory and sequencing","Sequence recall, order matching, gentle pattern memory","READY"
"K-EXP-SUB-002","K-EXP-004","Content","Add KC7 Early reasoning","Same/different, cause/effect, simple choice reasoning","READY"
"K-EXP-SUB-003","K-EXP-004","Content","Add KC8 Visual attention","Find target, ignore distractor, match feature","READY"
"K-EXP-SUB-004","K-EXP-004","Content","Add KC9 Language meaning","Story why, category, object use","READY"
"K-EXP-SUB-005","K-EXP-004","Content","Add KC10 Calm review","Low-pressure recovery after mistakes","READY"
"K-EXP-SUB-006","K-EXP-005","Adaptive","Add mastery labels","Growing, Good Start, Strong Focus, Super Thinker","READY"
"K-EXP-SUB-007","K-EXP-005","Adaptive","Add recovery rule","If incorrect, suggest Calm Review or easier item","READY"
"K-EXP-SUB-008","K-EXP-006","ExceptionalPlayers","Add advanced Kids levels safely","Explorer, Builder, Solver, Mastery Spark","READY"
"K-EXP-SUB-009","K-EXP-007","Progress","Add progress review summary","Last score, mastery, category, next step, child-safe encouragement","READY"
"K-EXP-SUB-010","K-EXP-009","ManualSmoke","Manual smoke values","/kids, Red answer, mode selection, score after answer, localStorage keys, /adults regression","READY"
