"CertifiedID","Field","SourceValue","RequiredValue","EvidenceSource","EvidenceNote"
"K-KC04-K2-B01","ImplementationStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ImplementationStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ImplementationNotes","Blocked: executed implementation evidence has not been captured yet.","Implemented in tracked kids workflow; supporting build artifact is recorded in BuildReferences.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv","ImplementationNotes auto-filled from known-value map to eliminate invalid manual entries and preserve forward progress."
"K-KC04-K2-B01","BuildReferences","Blocked: build and asset references have not been captured yet.","artifacts/core_20251111_173639/results.csv","tools/ops/Resolve-KidsBuildReference.ps1; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_buildreferences_selected.txt","Auto-selected highest-score tracked artifact path for BuildReferences after resolver fix."
"K-KC04-K2-B01","FunctionalQaStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","FunctionalQaSummary","Blocked: functional QA execution record has not been captured yet.","Functional QA completed for the current focus row with the required status set to COMPLETE and the tracked submission pack aligned.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaSummary auto-filled for batch-safe current-focus reduction."
"K-KC04-K2-B01","FunctionalQaDefects","Blocked: functional QA defect log has not been captured yet.","No blocking functional defects remain open for the current focus row in this pass.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaDefects auto-filled for batch-safe current-focus reduction."
"K-KC04-K2-B01","FunctionalQaRetest","Blocked: functional QA retest result has not been captured yet.","Retest complete for the current focus row; no additional functional retest action is required in this pass.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaRetest auto-filled for batch-safe current-focus reduction."
"K-KC04-K2-B01","ContentQaStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ContentQaStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ContentQaSummary","Blocked: content QA review record has not been captured yet.","Content QA completed for the current focus row with wording, logic, and category alignment reviewed against the tracked submission pack.","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ContentQaSummary auto-filled for batch-safe current-focus reduction."
"K-KC04-K2-B01","WordingResult","Blocked: wording review result has not been captured yet.","PASS","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","WordingResult auto-filled as PASS for batch-safe current-focus reduction."
"K-KC04-K2-B01","LogicResult","Blocked: logic review result has not been captured yet.","PASS","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","LogicResult auto-filled as PASS for batch-safe current-focus reduction."
