"SmokeId","Area","Check","ExpectedValue","Result","Notes"
"K-RETEST-001","Route","Kids page loads cleanly at /kids","http://localhost:8090/kids","PASS","Verified manually after copy-route fix"
"K-RETEST-002","Route","Duplicate starter App card is gone","No extra top card saying Which one is red? outside Kids page","PASS","Verified manually after copy-route fix"
"K-RETEST-003","Copy","No corrupted characters visible","No corrupted mojibake characters","PASS","Verified manually after copy-route fix"
"K-RETEST-004","Title","Kids cognitive training visible","Kids cognitive training","PASS","Verified manually after copy-route fix"
"K-RETEST-005","Modes","Four play modes selectable","Play Focus|Story Practice|Challenge|Calm Review","PASS","Verified manually after copy-route fix"
"K-RETEST-006","PreAnswer","Score section hidden before answer","No Score/Mastery/Next step cards before selecting answer","PASS","Verified manually after copy-route fix"
"K-RETEST-007","Gameplay","Selecting Red shows feedback and scoring","Red answer shows feedback plus Score/Mastery/Next step","PASS","Verified manually after copy-route fix"
"K-RETEST-008","Insight","Session insight displays after answer","Session insight","PASS","Verified manually after copy-route fix"
"K-RETEST-009","Persistence","Kids storage keys exist","mindlab.kids.profile.v1|mindlab.kids.sessionHistory.v1","PASS","Verified manually after copy-route fix"
"K-RETEST-010","Regression","Adults route remains separate","http://localhost:8090/adults still works separately","PASS","Verified manually after copy-route fix"
