"SmokeId","Area","Check","Url","ExpectedValue","Result","RecommendedValue"
"K-EXP-SMOKE-001","Route","Kids page loads","http://localhost:8090/kids","Kids cognitive training visible","PENDING_USER_VERIFY","PASS if visible"
"K-EXP-SMOKE-002","Modes","All four Kids modes visible/selectable","http://localhost:8090/kids","Play Focus|Story Practice|Challenge|Calm Review","PENDING_USER_VERIFY","PASS if all four selectable"
"K-EXP-SMOKE-003","ProgressReview","Progress review panel visible","http://localhost:8090/kids","Kids progress review|Calm progress snapshot|Refresh progress","PENDING_USER_VERIFY","PASS if visible"
"K-EXP-SMOKE-004","PreAnswer","Score hidden before answer","http://localhost:8090/kids","No Score/Mastery/Level/Score band cards before selecting answer","PENDING_USER_VERIFY","PASS if hidden"
"K-EXP-SMOKE-005","Gameplay","Select Red answer","http://localhost:8090/kids","Feedback plus Score, Mastery, Level, Score band, Adaptive next step","PENDING_USER_VERIFY","PASS if visible after Red"
"K-EXP-SMOKE-006","Insights","Session insight appears after answer","http://localhost:8090/kids","Session insight with category/mastery/level guidance","PENDING_USER_VERIFY","PASS if visible"
"K-EXP-SMOKE-007","Adaptive","Suggested next button appears after answer","http://localhost:8090/kids","Try suggested next or Try another friendly round","PENDING_USER_VERIFY","PASS if button works"
"K-EXP-SMOKE-008","Persistence","Kids localStorage keys exist","http://localhost:8090/kids","mindlab.kids.profile.v1|mindlab.kids.sessionHistory.v1","PENDING_USER_VERIFY","PASS if keys exist"
"K-EXP-SMOKE-009","Isolation","Kids route does not create Adults storage keys","http://localhost:8090/kids","No mindlab.adults keys created by Kids route","PENDING_USER_VERIFY","PASS if isolated"
"K-EXP-SMOKE-010","Regression","Adults route still loads separately","http://localhost:8090/adults","Adults route opens without Kids route replacing it","PENDING_USER_VERIFY","PASS if Adults route works"
"K-EXP-SMOKE-011","Copy","No mojibake or corrupted characters visible","http://localhost:8090/kids","Clean readable English text","PENDING_USER_VERIFY","PASS if clean"
"K-EXP-SMOKE-012","Duplication","No duplicate starter card","http://localhost:8090/kids","No extra top card saying Which one is red outside gameplay section","PENDING_USER_VERIFY","PASS if no duplicate"
