"ReviewOrder","Priority","Area","FilePath","Exists","Purpose","IssueCheck"
"1","Critical","External Source","C:\Projects\MindLab_External_Input\wave2_exact_source_external_approved_values.csv","True","Root source of real approved values","Missing rows, missing schema, missing values"
"2","Critical","Requested Coverage","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_missing_external_values_request_2026-04-21.csv","True","Exact ItemKey and FieldName still required","Coverage gap against external inbox"
"3","Critical","Original Request","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_source_request_2026-04-18.csv","True","Original requested approval keys","Missing request rows, wrong requested fields"
"4","Critical","Target Intake","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_approved_value_intake_2026-04-18.csv","True","Target file to receive approved values","Match columns, blank approved values, missing rows"
"5","High","Template","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\external_approved_values_received_template_2026-04-21.csv","True","Normalized received approvals","Still blank or outdated"
"6","High","Ready Import","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\wave2_signoffcheckpoint_ready_import_2026-04-21.csv","False","Pre-apply import artifact","Missing file or zero approved rows"
"7","High","Proof","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_proof_pack_2026-04-21.csv","True","Gate proof summary","Confirms current source-data stop state"
"8","High","Audit","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_root_cause_audit_2026-04-21.csv","True","First root-cause pass","Open causes still unresolved"
"9","High","Audit","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_deep_root_cause_2026-04-21.csv","True","Deep root-cause package","Schema, coverage, sequencing causes"
"10","High","Status","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\final_lane_status_2026-04-21.csv","True","Overall lane state","Blocked or ready state drift"
"11","High","Status","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_blocked_status_2026-04-21.csv","True","Exact-source blocker state","Cleared vs blocked mismatch"
"12","Medium","Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_external_approval_processor_2026-04-21.ps1","True","Earlier processor path","Source priority and gating logic"
"13","Medium","Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_recovery_pipeline_2026-04-21.ps1","True","Deterministic recovery path","Sequencing and apply gates"
"14","Medium","Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_downstream_hard_block_2026-04-21.ps1","True","Prevents out-of-order apply","Blocks until ready import exists"
"15","Medium","Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_single_entry_controller_2026-04-21.ps1","True","Single execution entry","Ensures no parallel lane runs"
"16","Medium","Script","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_strict_external_loader_2026-04-21.ps1","True","Strict gate for schema and coverage","Blocks until inbox fully valid"
